Reference GeoSymbio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type;Gene;Accession number;Host_Phylum;Host_Class;Host_Order;Host_Family;Host_Genus;Host_Species;Host_Sci_Name;Ocean;Country;StateRegion;Latitude;Longitude;Reference;;Accession number;Host_Species_code;Country;year;sample_number;;;;;;;;;;;;;;;
B1;ITS2;AF333511;Cnidaria;Anthozoa;Scleractinia;Faviidae;Colpophyllia;natans;Colpophyllia natans;Caribbean;United States;Florida;24.776438;-80.717769;Correa_2009_Coral_Reefs_28_437;;AF333511;Cnatans;Flo;2006;1;;;;;;;;;;;;;;;
B1;ITS2;AF333511;Cnidaria;Anthozoa;Scleractinia;Meandrinidae;Dichocoenia;stokesi;Dichocoenia stokesi;Caribbean;United States;US Virgin Islands;18.296119;-64.890936;Correa_2009_Coral_Reefs_28_437;;AF333511;Dstokesi;USVI;2007;1;;;;;;;;;;;;;;;
B1;ITS2;AF333511;Cnidaria;Anthozoa;Scleractinia;Meandrinidae;Dichocoenia;stokesi;Dichocoenia stokesi;Caribbean;United States;Florida;24.776438;-80.717769;Correa_2009_Coral_Reefs_28_437;;AF333511;Dstokesi;Flo;2006;1;;;;;;;;;;;;;;;
B1;ITS2;AF333511;Cnidaria;Anthozoa;Scleractinia;Faviidae;Diploria;labyrinthiformis;Diploria labyrinthiformis;Caribbean;United States;Florida;24.776438;-80.717769;Correa_2009_Coral_Reefs_28_437;;AF333511;Dlabyrinthiformis;Flo;2006;1;;;;;;;;;;;;;;;
B1;ITS2;AF333511;Cnidaria;Anthozoa;Scleractinia;Faviidae;Diploria;strigosa;Diploria strigosa;Caribbean;United States;US Virgin Islands;18.296119;-64.890936;Correa_2009_Coral_Reefs_28_437;;AF333511;Dstrigosa;USVI;2007;1;;;;;;;;;;;;;;;
B1;ITS2;AF333511;Cnidaria;Anthozoa;Scleractinia;Faviidae;Diploria;strigosa;Diploria strigosa;Caribbean;United States;US Virgin Islands;18.296119;-64.890936;Correa_2009_Coral_Reefs_28_437;;AF333511;Dstrigosa;USVI;2007;2;;;;;;;;;;;;;;;
B1;ITS2;AF333511;Cnidaria;Anthozoa;Scleractinia;Faviidae;Diploria;strigosa;Diploria strigosa;Caribbean;United States;Florida;24.776438;-80.717769;Correa_2009_Coral_Reefs_28_437;;AF333511;Dstrigosa;Flo;2006;1;;;;;;;;;;;;;;;
B1;ITS2;AF333511;Cnidaria;Anthozoa;Scleractinia;Meandrinidae;Meandrina;meandrites;Meandrina meandrites;Caribbean;United States;US Virgin Islands;18.296119;-64.890936;Correa_2009_Coral_Reefs_28_437;;AF333511;Mmeandrites;USVI;2007;1;;;;;;;;;;;;;;;
B1;ITS2;AF333511;Cnidaria;Anthozoa;Scleractinia;Faviidae;Montastraea;annularis;Montastraea annularis;Caribbean;United States;US Virgin Islands;18.296119;-64.890936;Correa_2009_Coral_Reefs_28_437;;AF333511;Oannularis;USVI;2007;1;;;;;;;;;;;;;;;
B1;ITS2;AF333511;Cnidaria;Anthozoa;Scleractinia;Faviidae;Montastraea;faveolata;Montastraea faveolata;Caribbean;United States;Florida;24.776438;-80.717769;Correa_2009_Coral_Reefs_28_437;;AF333511;Ofaveolata;Flo;2006;1;;;;;;;;;;;;;;;
